nama_fasilitas,kategori,x_longitude,y_latitude,jangkauan1_meter,jangkauan2_meter,jangkauan3_meter
SDN Pelem 2,sekolah,111.4516928,-7.393083191,300,600,1000
SDN Karangtengah 1 Ngawi,sekolah, 111.44226633320717, -7.397732523861308,300,600,1000
Pasar Besar Ngawi,Pasar,111.447912,-7.394366,300,600,1000
SMA Muhammadiyah 1 Ngawi,sekolah,111.44741199922706,-7.412404929893822,300,600,1000
SMP Muhammadiyah 5 Ngawi,sekolah,111.44777994121868,-7.412574198141925,300,600,1000
Masjid Karanggeneng,tempat ibadah,111.44788046145075,-7.412340984089203,300,600,1000
Pondok Pesantren Syarifatul Ulum,sekolah,111.43833028731684,-7.411804117240112,300,600,1000 
Masjid Khusnul Iman,tempat ibadah,111.43834743236086,-7.41174521551903,300,600,1000 
Bank BTPN,perkantoran,111.43785019592325,-7.408954085505252,300,600,1000 
BCA Sultan Agung,perkantoran,111.43722812021663,-7.408615695624907,300,600,1000 
